TripID,StepOrder,EventName,EventTimestamp
2,1,Book Mode of Transportation,05/19/2024 21:45:00
2,2,Book Lodging,05/19/2024 21:56:13
2,3,Submit Travel Request,05/24/2024 22:04:21
2,4,Travel Request Approved,05/24/2024 22:37:24
2,5,Receive Confirmation,05/24/2024 23:37:24
2,6,Take Departure Flight,05/27/2024 00:31:38
2,7,Take Return Flight,06/03/2024 00:31:38
2,8,Submit Expense Request,06/03/2024 16:14:41
2,9,Expense Request Approved,06/03/2024 16:26:29
2,10,Expense Reimbursement,06/04/2024 00:22:53
4,1,Book Mode of Transportation,07/29/2024 01:15:54
4,2,Book Lodging,07/29/2024 04:58:57
4,3,Submit Travel Request,07/29/2024 08:45:25
4,4,Travel Request Approved,07/29/2024 17:38:10
4,5,Receive Confirmation,07/30/2024 01:46:13
4,6,Take Departure Flight,08/19/2024 22:09:00
4,7,Take Return Flight,08/22/2024 22:09:00
4,8,Submit Expense Request,08/23/2024 15:47:13
4,9,Expense Request Approved,08/23/2024 15:58:24
4,10,Expense Reimbursement,08/26/2024 02:08:09
5,1,Book Mode of Transportation,03/19/2024 02:28:19
5,2,Book Lodging,03/19/2024 23:19:09
5,3,Submit Travel Request,03/20/2024 01:36:38
5,4,Travel Request Approved,03/20/2024 17:42:33
5,5,Receive Confirmation,03/21/2024 03:44:35
5,6,Itinerary Edit,04/18/2024 00:25:18
5,7,Take Departure Flight,04/18/2024 00:36:00
5,8,Take Return Flight,04/24/2024 00:36:00
5,9,Submit Expense Request,04/24/2024 08:29:23
5,10,Expense Request Approved,04/24/2024 09:24:38
5,11,Expense Reimbursement,04/25/2024 08:33:16
14,1,Book Mode of Transportation,06/25/2024 09:13:49
14,2,Book Lodging,06/26/2024 08:56:21
14,3,Submit Travel Request,06/26/2024 18:24:20
14,4,Travel Request Approved,06/27/2024 03:06:21
14,5,Receive Confirmation,06/27/2024 03:31:50
14,6,Itinerary Edit,07/25/2024 20:40:43
14,7,Take Departure Flight,07/25/2024 20:59:54
14,8,Take Return Flight,07/29/2024 20:59:54
14,9,Submit Expense Request,07/30/2024 20:23:16
14,10,Expense Request Approved,07/30/2024 21:04:06
14,11,Expense Reimbursement,07/30/2024 21:35:42
15,1,Book Mode of Transportation,07/10/2024 19:48:00
15,2,Book Lodging,07/15/2024 20:13:55
15,3,Submit Travel Request,07/15/2024 20:36:33
15,4,Travel Request Approved,07/15/2024 21:26:56
15,5,Receive Confirmation,07/15/2024 22:26:56
15,6,Take Departure Flight,07/15/2024 23:14:36
15,7,Take Return Flight,07/17/2024 23:14:36
15,8,Submit Expense Request,07/18/2024 07:51:29
15,9,Expense Request Approved,07/18/2024 08:07:33
15,10,Expense Reimbursement,07/18/2024 22:27:06
17,1,Book Mode of Transportation,08/22/2024 22:12:00
17,2,Book Lodging,08/24/2024 22:53:52
17,3,Submit Travel Request,08/27/2024 23:40:01
17,4,Travel Request Approved,08/28/2024 00:21:52
17,5,Receive Confirmation,08/28/2024 01:21:52
17,6,Pickup Rental,08/28/2024 01:25:12
17,7,Missed Pickup,09/02/2024 01:25:12
17,8,Book Mode of Transportation,09/02/2024 02:40:47
17,9,Return Rental,09/02/2024 03:24:47
17,10,Submit Expense Request,09/03/2024 02:24:21
17,11,Expense Request Approved,09/03/2024 02:50:57
17,12,Expense Reimbursement,09/03/2024 18:40:40
22,1,Book Mode of Transportation,04/18/2024 01:52:17
22,2,Book Lodging,04/18/2024 11:07:30
22,3,Submit Travel Request,04/19/2024 09:50:44
22,4,Travel Request Approved,04/19/2024 20:21:21
22,5,Receive Confirmation,04/20/2024 11:04:46
22,6,Take Departure Flight,05/07/2024 22:19:10
22,7,Take Return Flight,05/09/2024 22:19:10
22,8,Submit Expense Request,05/10/2024 17:24:30
22,9,Expense Request Approved,05/10/2024 18:07:06
22,10,Expense Reimbursement,05/10/2024 19:39:58
23,1,Manager Preapproved,01/22/2024 15:42:00
23,2,Itinerary Edit,01/23/2024 17:22:02
23,3,Book Mode of Transportation,01/02/2024 01:33:39
23,4,Book Lodging,01/02/2024 08:23:31
23,5,Submit Travel Request,01/03/2024 04:44:52
23,6,Travel Request Approved,01/03/2024 17:07:33
23,7,Receive Confirmation,01/04/2024 11:01:16
23,8,Take Departure Flight,01/23/2024 21:23:58
23,9,Take Return Flight,01/29/2024 21:23:58
23,10,Submit Expense Request,01/30/2024 05:05:07
23,11,Expense Request Approved,01/30/2024 05:47:19
23,12,Expense Reimbursement,01/30/2024 10:31:08
25,1,Book Mode of Transportation,08/18/2024 12:28:36
25,2,Book Lodging,08/18/2024 17:45:58
25,3,Submit Travel Request,08/19/2024 11:40:32
25,4,Travel Request Approved,08/19/2024 16:54:51
25,5,Receive Confirmation,08/20/2024 10:33:53
25,6,Take Departure Train,09/05/2024 14:59:52
25,7,Take Return Train,09/09/2024 14:59:52
25,8,Submit Expense Request,09/09/2024 23:16:18
25,9,Expense Request Approved,09/10/2024 00:04:21
25,10,Expense Reimbursement,09/10/2024 05:39:30
30,1,Book Mode of Transportation,03/17/2024 17:43:09
30,2,Book Lodging,03/17/2024 21:34:14
30,3,Submit Travel Request,03/18/2024 00:23:39
30,4,Travel Request Approved,03/18/2024 21:38:50
30,5,Receive Confirmation,03/19/2024 19:50:11
30,6,Take Departure Flight,04/01/2024 20:53:26
30,7,Take Return Flight,04/03/2024 20:53:26
30,8,Submit Expense Request,04/04/2024 09:48:53
30,9,Expense Request Approved,04/04/2024 10:18:28
30,10,Expense Reimbursement,04/04/2024 19:27:58
35,1,Book Mode of Transportation,11/11/2024 14:30:44
35,2,Book Lodging,11/12/2024 06:33:18
35,3,Submit Travel Request,11/12/2024 23:18:22
35,4,Travel Request Approved,11/13/2024 07:26:30
35,5,Receive Confirmation,11/13/2024 20:44:54
35,6,Take Departure Flight,12/12/2024 12:04:33
35,7,Take Return Flight,12/13/2024 12:04:33
35,8,Submit Expense Request,12/16/2024 04:40:47
35,9,Expense Request Approved,12/16/2024 05:22:27
35,10,Expense Reimbursement,12/16/2024 09:05:45
39,1,Book Mode of Transportation,10/14/2024 07:52:00
39,2,Flight Change,10/22/2024 07:59:31
39,3,Book Lodging,10/22/2024 08:34:45
39,4,Hotel Change,10/22/2024 08:59:38
39,5,Submit Travel Request,10/22/2024 09:14:42
39,6,Travel Request Approved,10/22/2024 09:22:30
39,7,Receive Confirmation,10/22/2024 10:22:30
39,8,Take Departure Flight,10/22/2024 10:37:24
39,9,Take Return Flight,10/25/2024 10:37:24
39,10,Submit Expense Request,10/28/2024 00:42:04
39,11,Expense Request Approved,10/28/2024 01:22:13
39,12,Expense Reimbursement,10/28/2024 09:26:07
45,1,Book Mode of Transportation,03/02/2024 02:17:05
45,2,Book Lodging,03/02/2024 23:24:53
45,3,Submit Travel Request,03/03/2024 14:54:21
45,4,Travel Request Approved,03/04/2024 10:47:14
45,5,Receive Confirmation,03/05/2024 10:36:43
45,6,Take Departure Flight,03/28/2024 10:47:34
45,7,Take Return Flight,04/01/2024 10:47:34
45,8,Submit Expense Request,04/02/2024 01:24:50
45,9,Expense Request Approved,04/02/2024 01:49:17
45,10,Expense Reimbursement,04/02/2024 21:34:45
50,1,Book Mode of Transportation,08/08/2024 22:09:31
50,2,Book Lodging,08/09/2024 20:30:50
50,3,Submit Travel Request,08/10/2024 11:35:20
50,4,Travel Request Approved,08/10/2024 23:31:27
50,5,Receive Confirmation,08/11/2024 21:04:36
50,6,Take Departure Flight,08/26/2024 21:55:55
50,7,Flight Change,09/02/2024 21:55:55
50,8,Take Return Flight,09/02/2024 22:04:33
50,9,Submit Expense Request,09/03/2024 07:56:09
50,10,Expense Request Approved,09/03/2024 08:28:42
50,11,Expense Reimbursement,09/03/2024 10:12:35
51,1,Manager Preapproved,01/29/2024 15:54:00
51,2,Trip Extension,01/30/2024 05:56:27
51,3,Book Mode of Transportation,01/10/2024 05:56:27
51,4,Book Lodging,01/13/2024 06:47:04
51,5,Submit Travel Request,02/02/2024 07:24:00
51,6,Travel Request Approved,02/02/2024 08:23:12
51,7,Receive Confirmation,02/02/2024 09:23:12
51,8,Pickup Rental,02/02/2024 09:52:26
51,9,Return Rental,02/08/2024 09:52:26
51,10,Submit Expense Request,02/09/2024 03:15:01
51,11,Expense Request Approved,02/09/2024 03:37:45
51,12,Expense Reimbursement,02/09/2024 07:32:37
55,1,Book Mode of Transportation,04/09/2024 02:10:23
55,2,Book Lodging,04/09/2024 03:24:01
55,3,Submit Travel Request,04/09/2024 19:10:43
55,4,Travel Request Approved,04/09/2024 22:27:34
55,5,Receive Confirmation,04/10/2024 04:22:14
55,6,Flight Change,05/01/2024 10:33:21
55,7,Take Departure Flight,05/01/2024 10:43:29
55,8,Take Return Flight,05/03/2024 10:43:29
55,9,Submit Expense Request,05/06/2024 07:27:24
55,10,Expense Request Approved,05/06/2024 08:08:39
55,11,Expense Reimbursement,05/07/2024 02:53:41
64,1,Manager Preapproved,03/11/2024 11:28:00
64,2,Trip Extension,03/12/2024 08:29:15
64,3,Book Mode of Transportation,02/17/2024 02:11:28
64,4,Book Lodging,02/17/2024 12:24:27
64,5,Submit Travel Request,02/17/2024 17:48:50
64,6,Travel Request Approved,02/18/2024 08:44:35
64,7,Receive Confirmation,02/18/2024 12:00:34
64,8,Take Departure Flight,03/15/2024 11:31:27
64,9,Take Return Flight,03/18/2024 11:31:27
64,10,Submit Expense Request,03/19/2024 08:06:04
64,11,Expense Request Approved,03/19/2024 08:40:54
64,12,Expense Reimbursement,03/20/2024 08:39:23
65,1,Book Mode of Transportation,09/12/2024 21:26:00
65,2,Book Lodging,09/13/2024 15:50:40
65,3,Submit Travel Request,09/14/2024 08:23:32
65,4,Travel Request Approved,09/15/2024 00:47:55
65,5,Receive Confirmation,09/15/2024 08:09:08
65,6,Take Departure Flight,10/07/2024 13:42:08
65,7,Take Return Flight,10/10/2024 13:42:08
65,8,Submit Expense Request,10/10/2024 20:47:32
65,9,Expense Request Approved,10/10/2024 20:52:05
65,10,Expense Reimbursement,10/11/2024 20:07:31
68,1,Book Mode of Transportation,05/01/2024 11:44:03
68,2,Book Lodging,05/01/2024 17:39:24
68,3,Submit Travel Request,05/02/2024 07:15:29
68,4,Travel Request Approved,05/02/2024 14:44:50
68,5,Receive Confirmation,05/02/2024 23:24:00
68,6,Take Departure Flight,05/17/2024 09:44:10
68,7,Take Return Flight,05/21/2024 09:44:10
68,8,Submit Expense Request,05/21/2024 20:44:10
68,9,Expense Request Approved,05/21/2024 20:53:57
68,10,Expense Reimbursement,05/22/2024 00:14:03
72,1,Book Mode of Transportation,10/17/2024 21:31:00
72,2,Book Lodging,10/23/2024 21:43:09
72,3,Submit Travel Request,11/04/2024 21:57:17
72,4,Travel Request Approved,11/04/2024 22:43:55
72,5,Receive Confirmation,11/04/2024 23:43:55
72,6,Pickup Rental,11/05/2024 00:19:44
72,7,Return Rental,11/06/2024 00:19:44
72,8,Submit Expense Request,11/06/2024 08:36:01
72,9,Expense Request Approved,11/06/2024 09:21:11
72,10,Expense Reimbursement,11/06/2024 12:38:11
73,1,Book Mode of Transportation,03/16/2024 05:07:16
73,2,Book Lodging,03/17/2024 03:55:15
73,3,Submit Travel Request,03/17/2024 13:19:39
73,4,Travel Request Approved,03/17/2024 19:54:40
73,5,Receive Confirmation,03/18/2024 17:54:07
73,6,Take Departure Flight,04/01/2024 02:11:36
73,7,Take Return Flight,04/05/2024 02:11:36
73,8,Submit Expense Request,04/08/2024 00:21:41
73,9,Expense Request Approved,04/08/2024 00:38:20
73,10,Expense Reimbursement,04/08/2024 13:05:42
78,1,Book Mode of Transportation,05/27/2024 16:38:01
78,2,Book Lodging,05/28/2024 15:09:15
78,3,Submit Travel Request,05/29/2024 11:38:59
78,4,Travel Request Approved,05/30/2024 07:18:26
78,5,Receive Confirmation,05/30/2024 17:37:33
78,6,Take Departure Flight,06/17/2024 12:13:57
78,7,Take Return Flight,06/19/2024 12:13:57
78,8,Submit Expense Request,06/19/2024 17:55:30
78,9,Expense Request Approved,06/19/2024 18:00:47
78,10,Expense Reimbursement,06/19/2024 19:10:23
80,1,Book Mode of Transportation,08/19/2024 10:59:37
80,2,Book Lodging,08/20/2024 04:45:18
80,3,Submit Travel Request,08/20/2024 06:18:33
80,4,Travel Request Approved,08/20/2024 17:57:12
80,5,Receive Confirmation,08/20/2024 18:39:19
80,6,Hotel Change,09/05/2024 21:35:18
80,7,Take Departure Flight,09/05/2024 21:54:17
80,8,Take Return Flight,09/09/2024 21:54:17
80,9,Submit Expense Request,09/10/2024 17:35:12
80,10,Expense Request Approved,09/10/2024 18:08:00
80,11,Expense Reimbursement,09/11/2024 09:33:30
86,1,Manager Preapproved,03/11/2024 05:17:00
86,2,Trip Extension,03/11/2024 23:37:12
86,3,Book Mode of Transportation,03/14/2024 23:37:12
86,4,Book Lodging,03/15/2024 00:30:57
86,5,Submit Travel Request,03/15/2024 00:43:16
87,1,Book Mode of Transportation,09/30/2024 21:05:19
87,2,Book Lodging,10/01/2024 07:17:35
87,3,Submit Travel Request,10/01/2024 22:10:47
87,4,Travel Request Approved,10/02/2024 00:56:50
87,5,Receive Confirmation,10/02/2024 03:03:37
87,6,Take Departure Flight,10/16/2024 18:48:08
87,7,Flight Change,10/21/2024 18:48:08
87,8,Take Return Flight,10/21/2024 18:49:52
87,9,Submit Expense Request,10/22/2024 10:59:14
87,10,Expense Request Approved,10/22/2024 11:01:29
87,11,Expense Reimbursement,10/22/2024 19:04:14
96,1,Book Mode of Transportation,01/06/2024 16:20:00
96,2,Book Lodging,01/25/2024 16:37:34
96,3,Submit Travel Request,02/01/2024 17:20:25
96,4,Travel Request Approved,02/01/2024 17:32:24
96,5,Receive Confirmation,02/01/2024 18:32:24
96,6,Pickup Rental,02/01/2024 18:53:46
96,7,Return Rental,02/02/2024 18:53:46
96,8,Submit Expense Request,02/05/2024 08:13:20
96,9,Expense Request Approved,02/05/2024 08:20:03
96,10,Expense Reimbursement,02/05/2024 18:29:35
97,1,Book Mode of Transportation,08/02/2024 05:03:00
97,2,Book Lodging,08/08/2024 06:02:52
97,3,Submit Travel Request,08/16/2024 06:49:07
97,4,Travel Request Approved,08/16/2024 07:03:06
97,5,Receive Confirmation,08/16/2024 08:03:06
97,6,Pickup Rental,08/16/2024 08:56:18
97,7,Vehicle Change,08/22/2024 08:56:18
97,8,Return Rental,08/22/2024 09:25:06
97,9,Submit Expense Request,08/23/2024 05:01:33
97,10,Expense Request Approved,08/23/2024 05:24:44
97,11,Expense Reimbursement,08/23/2024 11:48:38
101,1,Book Mode of Transportation,09/27/2024 13:28:00
101,2,Book Lodging,09/28/2024 13:53:40
101,3,Submit Travel Request,10/07/2024 14:20:20
101,4,Travel Request Approved,10/07/2024 15:15:42
101,5,Receive Confirmation,10/07/2024 16:15:42
101,6,Pickup Rental,10/07/2024 16:59:59
101,7,Return Rental,10/10/2024 16:59:59
101,8,Submit Expense Request,10/11/2024 01:55:30
101,9,Expense Request Approved,10/11/2024 02:43:33
101,10,Expense Reimbursement,10/11/2024 19:54:05
102,1,Book Mode of Transportation,12/31/2023 11:12:02
102,2,Book Lodging,12/31/2023 18:18:47
102,3,Submit Travel Request,01/01/2024 00:15:36
102,4,Travel Request Approved,01/01/2024 15:46:58
102,5,Receive Confirmation,01/01/2024 23:56:25
102,6,Take Departure Flight,01/19/2024 10:42:07
102,7,Take Return Flight,01/23/2024 10:42:07
102,8,Submit Expense Request,01/24/2024 01:06:28
102,9,Expense Request Approved,01/24/2024 01:47:16
102,10,Expense Reimbursement,01/24/2024 05:25:17
106,1,Book Mode of Transportation,01/20/2024 03:11:09
106,2,Book Lodging,01/20/2024 23:39:50
106,3,Submit Travel Request,01/21/2024 02:46:08
106,4,Travel Request Approved,01/21/2024 16:34:52
106,5,Receive Confirmation,01/22/2024 08:51:29
106,6,Take Departure Flight,02/06/2024 01:15:15
106,7,Take Return Flight,02/08/2024 01:15:15
106,8,Submit Expense Request,02/08/2024 15:45:32
106,9,Expense Request Approved,02/08/2024 16:17:59
106,10,Expense Reimbursement,02/09/2024 04:08:54
107,1,Book Mode of Transportation,03/19/2024 20:10:00
107,2,Book Lodging,03/30/2024 20:31:51
107,3,Submit Travel Request,04/03/2024 20:55:38
107,4,Travel Request Approved,04/03/2024 21:53:39
107,5,Receive Confirmation,04/03/2024 22:53:39
107,6,Hotel Change,04/03/2024 23:12:33
107,7,Pickup Rental,04/03/2024 23:40:28
107,8,Return Rental,04/05/2024 23:40:28
107,9,Submit Expense Request,04/08/2024 16:05:56
107,10,Expense Request Approved,04/08/2024 16:50:53
107,11,Expense Reimbursement,04/08/2024 21:51:56
118,1,Book Mode of Transportation,12/29/2023 17:44:47
118,2,Book Lodging,12/30/2023 17:04:48
118,3,Submit Travel Request,12/31/2023 13:26:57
118,4,Travel Request Approved,12/31/2023 21:36:47
118,5,Receive Confirmation,01/01/2024 21:27:32
118,6,Take Departure Flight,01/23/2024 09:37:56
118,7,Missed Flight,01/29/2024 09:37:56
118,8,Flight Change,01/29/2024 11:16:34
118,9,Take Return Flight,01/29/2024 11:49:07
118,10,Submit Expense Request,01/30/2024 03:15:29
118,11,Expense Request Approved,01/30/2024 03:26:51
118,12,Expense Reimbursement,01/30/2024 12:18:52
122,1,Book Mode of Transportation,01/06/2024 10:57:02
122,2,Book Lodging,01/07/2024 10:05:26
122,3,Submit Travel Request,01/08/2024 02:46:52
122,4,Travel Request Approved,01/09/2024 01:59:51
122,5,Receive Confirmation,01/09/2024 12:34:06
122,6,Flight Cancellation,01/25/2024 22:32:14
122,7,Book Mode of Transportation,01/25/2024 22:47:31
122,8,Take Departure Flight,01/25/2024 23:16:13
122,9,Take Return Flight,01/26/2024 23:16:13
122,10,Submit Expense Request,01/29/2024 05:40:45
122,11,Expense Request Approved,01/29/2024 06:16:50
122,12,Expense Reimbursement,01/29/2024 08:54:15
130,1,Book Mode of Transportation,01/09/2024 14:32:13
130,2,Book Lodging,01/10/2024 00:49:02
130,3,Submit Travel Request,01/10/2024 01:03:25
130,4,Travel Request Approved,01/10/2024 01:13:12
130,5,Receive Confirmation,01/10/2024 13:47:52
130,6,Take Departure Flight,01/29/2024 23:50:31
130,7,Take Return Flight,01/30/2024 23:50:31
130,8,Submit Expense Request,01/31/2024 11:50:32
130,9,Expense Request Approved,01/31/2024 12:07:39
130,10,Expense Reimbursement,02/01/2024 05:44:12
140,1,Book Mode of Transportation,05/25/2024 21:18:09
140,2,Book Lodging,05/26/2024 04:52:39
140,3,Submit Travel Request,05/26/2024 14:42:42
140,4,Travel Request Approved,05/27/2024 08:10:42
140,5,Receive Confirmation,05/28/2024 03:27:49
140,6,Take Departure Flight,06/14/2024 18:46:17
140,7,Take Return Flight,06/17/2024 18:46:17
140,8,Submit Expense Request,06/18/2024 05:53:17
140,9,Expense Request Approved,06/18/2024 06:45:54
140,10,Expense Reimbursement,06/18/2024 19:31:27
141,1,Book Mode of Transportation,07/23/2024 22:18:00
141,2,Book Lodging,08/06/2024 22:34:25
141,3,Submit Travel Request,08/12/2024 22:56:45
141,4,Travel Request Approved,08/12/2024 23:29:44
141,5,Receive Confirmation,08/13/2024 00:29:44
141,6,Pickup Rental,08/13/2024 00:42:37
141,7,Return Rental,08/14/2024 00:42:37
141,8,Submit Expense Request,08/14/2024 09:54:52
141,9,Expense Request Approved,08/14/2024 10:47:28
141,10,Expense Reimbursement,08/15/2024 02:19:23
144,1,Book Mode of Transportation,02/05/2024 11:50:00
144,2,Book Lodging,02/05/2024 12:22:21
144,3,Submit Travel Request,02/09/2024 13:16:00
144,4,Travel Request Approved,02/09/2024 13:43:08
144,5,Receive Confirmation,02/09/2024 14:43:08
144,6,Take Departure Flight,02/09/2024 15:41:18
144,7,Take Return Flight,02/12/2024 15:41:18
144,8,Submit Expense Request,02/13/2024 10:49:08
144,9,Expense Request Approved,02/13/2024 11:40:52
144,10,Expense Reimbursement,02/13/2024 22:37:03
147,1,Book Mode of Transportation,06/18/2024 20:53:06
147,2,Book Lodging,06/19/2024 20:07:04
147,3,Submit Travel Request,06/20/2024 17:32:48
147,4,Travel Request Approved,06/21/2024 03:53:04
147,5,Receive Confirmation,06/21/2024 23:40:43
147,6,Take Departure Flight,07/08/2024 23:13:01
147,7,Take Return Flight,07/11/2024 23:13:01
147,8,Submit Expense Request,07/12/2024 11:30:09
147,9,Expense Request Approved,07/12/2024 12:17:49
147,10,Expense Reimbursement,07/15/2024 00:33:12
157,1,Book Mode of Transportation,10/27/2024 23:45:21
157,2,Book Lodging,10/28/2024 04:36:14
157,3,Submit Travel Request,10/28/2024 04:48:24
157,4,Travel Request Approved,10/28/2024 11:26:37
157,5,Receive Confirmation,10/29/2024 01:28:25
157,6,Take Departure Flight,11/26/2024 02:31:55
157,7,Take Return Flight,11/29/2024 02:31:55
157,8,Submit Expense Request,11/29/2024 15:44:05
157,9,Expense Request Approved,11/29/2024 16:25:14
157,10,Expense Reimbursement,12/02/2024 08:09:42
160,1,Book Mode of Transportation,06/04/2024 01:44:54
