TripID,DepartureLocationCountry,DepartureLocationCity,ArrivalLocationCountry,ArrivalLocationCity,ShippingType,ShippingTypeDescription,Purpose,OutOfPolicy,EntitiyCode,EmployeeNumber,BusinessUnit,HotelNights,NetCosts,Departure_CO2e,Return_CO2e,Hotel_CO2e,Spend_CO2e,TotalCO2e,HighCarbon
1,CN,Beijing,IN,New Delhi,12,Business Class Flight,Customer Visit,No,9000,M1000-M5008,Services,1,900,1565.121857,1565.121857,58.9,1472.279257,3189.143714,0
3,US,New York,MX,Mexico City,11,First Class Flight,Customer Visit,Yes,6000,M1000-M5030,Sales,2,3600,743.2958481,743.2958481,38.6,2921.504761,1525.191696,0
6,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,9000,M1000-M5069,Services,1,450,1053.713528,1053.713528,51.4,743.6462186,2158.827056,0
7,DE,Berlin,FR,Paris,12,Business Class Flight,Customer Visit,No,10000,M1000-M5095,Executive Management,1,3450,196.2627035,196.2627035,6.7,3343.16026,399.225407,0
8,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Internal Business Trip,No,7000,M1000-M5097,Marketing,2,1500,1053.713528,1053.713528,102.8,2478.820729,2210.227056,0
9,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,10000,M1000-M5107,Ecosystem,2,3600,2336.832592,2336.832592,26.4,1991.01878,4700.065184,1
10,US,New York,MX,Mexico City,13,BMW 3 diesel,Customer Visit,No,6000,M1000-M5110,Marketing,1,1350,1176.769263,1177.127347,19.3,180.8806365,2373.19661,0
11,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,7000,M1000-M5124,Marketing,2,3000,891.4661434,891.4661434,49,3608.09915,1831.932287,0
12,ZA,Cape Town,ZA,Johannesburg,15,Volkswagen Golf petrol,Customer Visit,No,10000,M1000-M5132,Finance,3,3150,303.5714136,303.9049104,154.2,1349.294283,761.676324,0
13,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,9000,M1000-M5135,Customer Support,6,3300,2336.832592,2336.832592,79.2,1825.100549,4752.865184,1
16,JP,Fukuoka,JP,Tokyo,13,BMW 3 diesel,Customer Visit,No,8000,M1000-M5149,Marketing,4,1800,307.477645,307.938121,156,325.903761,771.415766,0
18,CN,Beijing,GB,London,10,Economy Flight,Enablement,No,6000,M1000-M5151,Sales,1,3450,1154.914373,1154.914373,10.4,2918.221455,2320.228746,0
19,DE,Berlin,ES,Madrid,4,Train,Customer Visit,No,10000,M1000-M5161,Sales,4,3600,65.47227364,37.22030521,28,868.1274919,130.6925789,0
20,CN,Beijing,TR,Istanbul,15,Volkswagen Golf petrol,Conference/Exhibition,No,9000,M1000-M5170,Customer Support,3,2550,2126.3424,2126.3424,96.3,113.444871,4348.9848,1
21,AU,Sydney,CN,Beijing,12,Business Class Flight,Customer Visit,Yes,10000,M1000-M5186,Executive Management,2,900,3682.349429,3682.349429,107,1305.346209,7471.698858,1
24,BR,Ṣo Paulo,AR,Buenos Aires,12,Business Class Flight,Conference/Exhibition,No,9000,M1000-M5193,Operations,1,1500,376.8228857,376.8228857,56,39.02294282,809.6457714,0
26,BR,Ṣo Paulo,PT,Lisbon,10,Economy Flight,Customer Visit,No,9000,M1000-M5230,Sales,3,1350,1123.944467,1123.944467,57,1331.598528,2304.888934,0
27,CN,Beijing,RU,Moscow,10,Economy Flight,Customer Visit,No,9000,M1000-M5233,Marketing,1,2400,820.8745452,820.8745452,24.2,3023.463773,1665.94909,0
28,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,8000,M1000-M5233,Executive Management,2,900,1708.458757,1708.458757,32.2,709.3903162,3449.117514,0
29,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,7000,M1000-M5236,Ecosystem,6,2400,1053.713528,1053.713528,308.4,3966.113166,2415.827056,0
31,BR,Ṣo Paulo,US,Miami,11,First Class Flight,Partner Visit,No,10000,M1000-M5274,Office Management,3,450,3724.455229,3724.455229,48.3,354.6951581,7497.210458,1
32,CN,Beijing,RU,Moscow,10,Economy Flight,Conference/Exhibition,No,8000,M1000-M5277,Marketing,2,1500,820.8745452,820.8745452,48.4,1889.664858,1690.14909,0
33,BR,Ṣo Paulo,PT,Lisbon,10,Economy Flight,Enablement,No,9000,M1000-M5278,Customer Support,3,2550,1123.944467,1123.944467,57,2515.241665,2304.888934,0
34,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,8000,M1000-M5287,Sales,2,2700,931.1466752,931.1466752,32.2,2128.170949,1894.49335,0
36,US,New York,CA,Toronto,14,Volkswagen Golf diesel,Enablement,No,9000,M1000-M5307,Legal,4,300,172.195296,173.4034848,29.6,83.8438294,375.1987808,0
37,DE,Berlin,FR,Paris,13,BMW 3 diesel,Conference/Exhibition,No,9000,M1000-M5318,Executive Management,2,3450,299.9971146,299.9166237,13.4,0,613.3137383,0
38,CN,Beijing,GB,London,10,Economy Flight,Customer Visit,No,10000,M1000-M5322,Sales,3,2700,1154.914373,1154.914373,31.2,2283.825486,2341.028746,0
40,BR,Ṣo Paulo,PT,Lisbon,10,Economy Flight,Customer Visit,No,6000,M1000-M5342,Sales,3,3900,1123.944467,1123.944467,57,3846.840193,2304.888934,0
41,CN,Beijing,RU,Moscow,13,BMW 3 diesel,Customer Visit,No,6000,M1000-M5372,Marketing,3,3000,2047.53958,2047.53958,72.6,1387.337097,4167.67916,1
42,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,6000,M1000-M5382,Customer Support,2,3000,2336.832592,2336.832592,26.4,1659.182317,4700.065184,1
43,ZA,Cape Town,ZA,Johannesburg,15,Volkswagen Golf petrol,Conference/Exhibition,No,7000,M1000-M5396,Marketing,6,3150,303.5714136,303.9049104,308.4,1349.294283,915.876324,0
44,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,8000,M1000-M5398,Office Management,3,1500,931.1466752,931.1466752,48.3,1182.317194,1910.59335,0
46,DE,Hamburg,FR,Paris,14,Volkswagen Golf diesel,Conference/Exhibition,No,7000,M1000-M5418,Customer Support,4,900,196.6584984,198.7346088,26.8,0,422.1931072,0
47,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,8000,M1000-M5423,Marketing,5,1200,931.1466752,931.1466752,80.5,945.8537549,1942.79335,0
48,CN,Beijing,IN,New Delhi,10,Economy Flight,Internal Business Trip,No,6000,M1000-M5428,Marketing,6,1500,539.7168999,539.7168999,353.4,2453.798762,1432.8338,0
49,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,9000,M1000-M5429,Marketing,1,2850,1708.458757,1708.458757,16.1,2246.402668,3433.017514,0
52,DE,Berlin,ES,Madrid,13,BMW 3 diesel,Customer Visit,No,10000,M1000-M5463,Marketing,1,1500,660.9275167,681.9507054,7,300.5927108,1349.878222,0
53,US,New York,CA,Toronto,4,Train,Conference/Exhibition,No,8000,M1000-M5465,Finance,3,2550,66.41529809,66.39576842,22.2,2544.460702,155.0110665,0
