TripID,EmployeeNumber,TravelRequestID,ExpenseRequestID,ExpenseDenialReason,ExpenseReimbursementReason,ExpenseReimbursementAmount,ReasonForTransportCancellation,NewTransportSelection,ReasonForNewTransport,NewHotelSelection,ReasonForNewHotel,NewModeOfTransportation,TransportationPriceDifference,ReasonForTransportationChange,ReasonForDelay,ExtensionLength,DaysPreapproved,ProcessCode
1,M1000-M5008,TR000001,EXP000001,,Policy exception approved,267.89,,,,,,,,,,,2,V1
3,M1000-M5030,TR000003,EXP000003,,Partial reimbursement,526.9,Personal emergency,Rebooked flight,Better schedule,,,Updated First Class Flight,140.62,Time constraints,,,2,V1
6,M1000-M5069,TR000006,EXP000006,,Policy exception approved,487.03,,,,,,,,,Weather delay,,1,V1
7,M1000-M5095,TR000007,EXP000007,,Policy exception approved,511.29,,,,,,,,,,,2,V1
8,M1000-M5097,TR000008,EXP000008,,Standard travel reimbursement,452.41,,,,,,,,,Mechanical issue,,2,V20
9,M1000-M5107,TR000009,EXP000009,,Partial reimbursement,494.19,Airline schedule change,,,,,,,,,,2,V13
10,M1000-M5110,TR000010,EXP000010,,Partial reimbursement,247.85,,,,,,,,,,,4,V1
11,M1000-M5124,TR000011,EXP000011,,Partial reimbursement,440.24,,,,,,,,,,,1,V1
12,M1000-M5132,TR000012,EXP000012,,Standard travel reimbursement,482.76,,,,,,,,,,,3,V1
13,M1000-M5135,TR000013,EXP000013,,Standard travel reimbursement,400.52,,Rebooked flight,Schedule conflict,Alternative hotel selected,Rate change,,,,,,4,V7
16,M1000-M5149,TR000016,EXP000016,,Partial reimbursement,313.42,,Rebooked rental,Route change,,,Updated Volkswagen Golf petrol,271.01,Cost optimization,,,0,V15
18,M1000-M5151,TR000018,EXP000018,,Partial reimbursement,433.37,,,,,,,,,,,0,V1
19,M1000-M5161,TR000019,EXP000019,,Policy exception approved,484.28,,,,,,,,,,,4,V22
20,M1000-M5170,TR000020,EXP000020,,Partial reimbursement,390.32,,,,,,,,,,,2,V25
21,M1000-M5186,TR000021,EXP000021,Missing receipt,Policy exception approved,237.52,,,,,,,,,,,3,V1
24,M1000-M5193,TR000024,EXP000024,,Partial reimbursement,265.85,,,,,,,,,,,0,V1
26,M1000-M5230,TR000026,EXP000026,,Partial reimbursement,251.91,,,,,,,,,,,4,V20
27,M1000-M5233,TR000027,EXP000027,,Standard travel reimbursement,251.58,Weather disruption,,,,,,,,,,2,V1
28,M1000-M5233,TR000028,EXP000028,,Standard travel reimbursement,212.38,,,,New hotel chosen,Quality issue,,,,,,2,V1
29,M1000-M5236,TR000029,EXP000029,,Standard travel reimbursement,358.39,,,,,,,,,,,0,V26
31,M1000-M5274,TR000031,EXP000031,,Standard travel reimbursement,149.86,,,,New hotel chosen,Location preference,,,,,,4,V1
32,M1000-M5277,TR000032,EXP000032,,Standard travel reimbursement,264.86,,,,,,,,,Weather delay,,4,V28
33,M1000-M5278,TR000033,EXP000033,,Policy exception approved,377.48,,,,,,,,,,,3,V22
34,M1000-M5287,TR000034,EXP000034,,Standard travel reimbursement,351.74,,,,,,,,,,,0,V1
36,M1000-M5307,TR000036,EXP000036,,Partial reimbursement,135.96,,Rebooked rental,Cheaper fare,Alternative hotel selected,Rate change,Updated Volkswagen Golf diesel,-28.03,Safety concern,,,3,V24
37,M1000-M5318,TR000037,EXP000037,,Policy exception approved,477.66,,Rebooked rental,Schedule conflict,,,,,,,,1,V23
38,M1000-M5322,TR000038,EXP000038,,Partial reimbursement,576.37,,,,,,,,,Mechanical issue,,3,V1
40,M1000-M5342,TR000040,EXP000040,,Policy exception approved,577.73,,,,,,,,,,,3,V1
41,M1000-M5372,TR000041,EXP000041,,Partial reimbursement,470.9,,Rebooked rental,Better schedule,New hotel chosen,Quality issue,Updated BMW 3 diesel,232.84,Client preference,,,4,V15
42,M1000-M5382,TR000042,EXP000042,Personal expense,Policy exception approved,468.24,,,,,,,,,,,1,V1
43,M1000-M5396,TR000043,EXP000043,,Standard travel reimbursement,457.42,,,,,,,,,,,3,V1
44,M1000-M5398,TR000044,EXP000044,,Partial reimbursement,278.02,,,,,,,,,,3,3,V18
46,M1000-M5418,TR000046,EXP000046,,Partial reimbursement,212.99,,,,,,,,,,,3,V1
47,M1000-M5423,TR000047,EXP000047,,Standard travel reimbursement,252.75,Personal emergency,,,,,,,,,,3,V8
48,M1000-M5428,TR000048,EXP000048,,Standard travel reimbursement,119.02,,,,,,,,,,,2,V14
49,M1000-M5429,TR000049,EXP000049,,Policy exception approved,413.08,,,,,,,,,,,0,V13
52,M1000-M5463,TR000052,EXP000052,,Standard travel reimbursement,239.82,,Rebooked rental,Schedule conflict,Alternative hotel selected,Rate change,,,,,,2,V7
